,nodes,edges,density,is_connected,diameter,average_path_length,average_clustering
group_only,20,86,0.45263157894736844,True,2,1.5473684210526315,0.4988708513708514
member_member_1,17,31,0.22794117647058823,True,2,1.7720588235294117,0.3642156862745098
member_member_2,20,38,0.2,True,2,1.8,0.43984126984126987
member_member_3,16,27,0.225,True,2,1.775,0.3508928571428571
member_member_4,15,24,0.22857142857142856,True,2,1.7714285714285714,0.4051037851037851
member_member_5,22,35,0.15151515151515152,True,2,1.8484848484848484,0.29090909090909095
member_member_6,25,40,0.13333333333333333,True,2,1.8666666666666667,0.297175983436853
member_member_7,23,31,0.1225296442687747,True,2,1.8774703557312253,0.3495200451722191
member_member_8,22,43,0.18614718614718614,True,2,1.8138528138528138,0.32445887445887445
member_member_9,17,34,0.25,True,2,1.75,0.4009803921568627
member_member_10,21,28,0.13333333333333333,True,2,1.8666666666666667,0.18454469507101084
member_member_11,25,46,0.15333333333333332,True,2,1.8466666666666667,0.4300455486542443
member_member_12,16,24,0.2,True,2,1.8,0.35535714285714287
member_member_13,21,31,0.14761904761904762,True,2,1.8523809523809525,0.35037593984962406
member_member_14,18,39,0.2549019607843137,True,2,1.7450980392156863,0.3759181450357921
member_member_15,23,49,0.19367588932806323,True,2,1.8063241106719368,0.4869659326181065
member_member_16,21,47,0.22380952380952382,True,2,1.776190476190476,0.3969029717150018
member_member_17,21,37,0.1761904761904762,True,2,1.8238095238095238,0.3010860484544695
member_member_18,24,45,0.16304347826086957,True,2,1.8369565217391304,0.32108350586611456
member_member_19,23,40,0.15810276679841898,True,2,1.841897233201581,0.30918501788067004
member_member_20,18,36,0.23529411764705882,True,2,1.7647058823529411,0.4109360410830999
k_core,16,63,0.525,True,2,1.475,0.5089285714285714
high_centrality,78,178,0.05927405927405927,True,4,2.897102897102897,0.14145017040944644
